TIME	PHILO	STATUS			EAT_CNT
############ 98 fork L
############ 98 print_msg
############ 98 print_msg
############ 80 print_msg
############ 80 fork L
############ 80 print_msg
############ 80 print_msg
############ 78 print_msg
############ 78 print_msg
############ 71 print_msg
############ 79 print_msg
############ 68 print_msg
############ 68 fork L
############ 68 print_msg
############ 68 print_msg
############ 66 print_msg
############ 66 print_msg
############ 72 print_msg
############ 72 fork L
############ 72 print_msg
############ 72 print_msg
############ 70 print_msg
############ 70 print_msg
############ 38 print_msg
############ 38 print_msg
############ 50 print_msg
############ 50 fork L
############ 50 print_msg
############ 50 print_msg
############ 56 print_msg
############ 56 fork L
############ 56 print_msg
############ 56 print_msg
############ 12 print_msg
############ 11 print_msg
############ 16 print_msg
############ 15 print_msg
############ 19 print_msg
############ 24 print_msg
############ 7 print_msg
############ 9 print_msg
############ 8 print_msg
############ 10 print_msg
############ 20 print_msg
############ 1 print_msg
############ 4 print_msg
############ 6 print_msg
############ 25 print_msg
############ 3 print_msg
############ 13 print_msg
############ 18 print_msg
############ 14 print_msg
############ 23 print_msg
############ 22 print_msg
############ 21 print_msg
############ 17 print_msg
############ 2 print_msg
############ 5 print_msg
############ 11 fork R
############ 11 print_msg
############ 11 fork L
############ 11 print_msg
############ 11 print_msg
############ 15 fork R
############ 15 print_msg
############ 15 fork L
############ 15 print_msg
############ 15 print_msg
############ 19 fork R
############ 19 print_msg
############ 19 fork L
############ 19 print_msg
############ 19 print_msg
############ 9 fork R
############ 9 print_msg
############ 9 fork L
############ 9 print_msg
############ 9 print_msg
############ 7 fork R
############ 7 print_msg
############ 7 fork L
############ 7 print_msg
############ 7 print_msg
############ 25 fork R
############ 25 print_msg
############ 25 fork L
############ 1 fork R
############ 13 fork R
############ 13 print_msg
############ 13 fork L
############ 13 print_msg
############ 13 print_msg
############ 21 fork R
############ 21 print_msg
############ 21 fork L
############ 21 print_msg
############ 21 print_msg
############ 5 fork R
############ 5 print_msg
############ 5 fork L
############ 5 print_msg
############ 5 print_msg
############ 3 fork R
############ 3 print_msg
############ 3 fork L
############ 3 print_msg
############ 3 print_msg
############ 23 fork R
############ 23 print_msg
############ 23 fork L
############ 23 print_msg
############ 23 print_msg
############ 17 fork R
############ 17 print_msg
############ 17 fork L
############ 17 print_msg
############ 17 print_msg
############ 75 print_msg
############ 89 print_msg
############ 74 print_msg
############ 73 print_msg
############ 92 print_msg
############ 50 print_msg
############ 67 print_msg
############ 28 print_msg
############ 47 print_msg
############ 65 print_msg
############ 26 print_msg
############ 83 print_msg
############ 39 print_msg
############ 62 print_msg
############ 100 print_msg
############ 80 print_msg
############ 96 print_msg
############ 72 print_msg
############ 51 print_msg
############ 91 print_msg
############ 37 print_msg
############ 25 print_msg
############ 25 print_msg
############ 42 print_msg
############ 64 print_msg
############ 54 print_msg
############ 59 print_msg
############ 29 print_msg
############ 93 print_msg
############ 94 print_msg
############ 90 print_msg
############ 99 print_msg
############ 97 print_msg
############ 30 print_msg
############ 48 print_msg
############ 98 print_msg
############ 56 print_msg
############ 76 print_msg
############ 87 print_msg
############ 43 print_msg
############ 69 print_msg
############ 71 print_msg
############ 57 print_msg
############ 61 print_msg
############ 34 print_msg
############ 38 print_msg
############ 45 print_msg
############ 86 print_msg
############ 82 print_msg
############ 52 print_msg
############ 35 print_msg
############ 36 print_msg
############ 44 print_msg
############ 49 print_msg
############ 33 print_msg
############ 1 print_msg
############ 78 print_msg
############ 60 print_msg
############ 55 print_msg
############ 88 print_msg
############ 32 print_msg
############ 31 print_msg
############ 63 print_msg
############ 79 print_msg
############ 70 print_msg
############ 41 print_msg
############ 53 print_msg
############ 46 print_msg
############ 81 print_msg
############ 40 print_msg
############ 1 fork L
############ 1 print_msg
############ 95 print_msg
############ 84 print_msg
############ 85 print_msg
############ 68 print_msg
############ 1 print_msg
############ 58 print_msg
############ 27 print_msg
############ 66 print_msg
############ 75 fork R
############ 75 print_msg
############ 75 fork L
############ 75 print_msg
############ 75 print_msg
############ 73 fork R
############ 73 print_msg
############ 73 fork L
############ 73 print_msg
############ 73 print_msg
############ 47 fork R
############ 47 print_msg
############ 47 fork L
############ 47 print_msg
############ 47 print_msg
############ 67 fork R
############ 67 print_msg
############ 67 fork L
############ 67 print_msg
############ 67 print_msg
############ 83 fork R
############ 83 print_msg
############ 83 fork L
############ 83 print_msg
############ 83 print_msg
############ 89 fork R
############ 89 print_msg
############ 89 fork L
############ 89 print_msg
############ 89 print_msg
############ 65 fork R
############ 65 print_msg
############ 65 fork L
############ 65 print_msg
############ 65 print_msg
############ 39 fork R
############ 39 print_msg
############ 39 fork L
############ 39 print_msg
############ 39 print_msg
############ 91 fork R
############ 91 print_msg
############ 91 fork L
############ 91 print_msg
############ 91 print_msg
############ 37 fork R
############ 37 print_msg
############ 37 fork L
############ 37 print_msg
############ 37 print_msg
############ 51 fork R
############ 51 print_msg
############ 51 fork L
############ 51 print_msg
############ 51 print_msg
############ 77 print_msg
############ 29 fork R
############ 29 print_msg
############ 29 fork L
############ 29 print_msg
############ 29 print_msg
############ 97 fork R
############ 97 print_msg
############ 97 fork L
############ 97 print_msg
############ 97 print_msg
############ 59 fork R
############ 59 print_msg
############ 59 fork L
############ 59 print_msg
############ 59 print_msg
############ 43 fork R
############ 43 print_msg
############ 43 fork L
############ 43 print_msg
############ 43 print_msg
############ 93 fork R
############ 93 print_msg
############ 93 fork L
############ 93 print_msg
############ 93 print_msg
############ 57 fork R
############ 57 print_msg
############ 57 fork L
############ 57 print_msg
############ 57 print_msg
############ 45 fork R
############ 45 print_msg
############ 45 fork L
############ 45 print_msg
############ 99 fork R
############ 99 print_msg
############ 99 fork L
############ 99 print_msg
############ 99 print_msg
############ 45 print_msg
############ 87 fork R
############ 87 print_msg
############ 87 fork L
############ 87 print_msg
############ 87 print_msg
############ 35 fork R
############ 35 print_msg
############ 35 fork L
############ 35 print_msg
############ 35 print_msg
############ 71 fork R
############ 71 print_msg
############ 71 fork L
############ 71 print_msg
############ 71 print_msg
############ 33 fork R
############ 33 print_msg
############ 55 fork R
############ 33 fork L
############ 49 fork R
############ 49 print_msg
############ 49 fork L
############ 33 print_msg
############ 85 fork R
############ 33 print_msg
############ 85 print_msg
############ 31 fork R
############ 85 fork L
############ 31 print_msg
############ 85 print_msg
############ 31 fork L
############ 85 print_msg
############ 63 fork R
############ 63 print_msg
############ 63 fork L
############ 63 print_msg
############ 63 print_msg
############ 31 print_msg
############ 31 print_msg
############ 95 fork R
############ 95 print_msg
############ 95 fork L
############ 95 print_msg
############ 95 print_msg
############ 27 fork R
############ 27 print_msg
############ 27 fork L
############ 27 print_msg
############ 27 print_msg
############ 49 print_msg
############ 49 print_msg
############ 55 print_msg
############ 55 fork L
############ 41 fork R
############ 41 print_msg
############ 69 fork R
############ 69 print_msg
############ 69 fork L
############ 69 print_msg
############ 41 fork L
############ 41 print_msg
############ 41 print_msg
############ 81 fork R
############ 53 fork R
############ 53 print_msg
############ 53 fork L
############ 53 print_msg
############ 53 print_msg
############ 79 fork R
############ 79 print_msg
############ 79 fork L
############ 79 print_msg
############ 79 print_msg
############ 77 fork R
############ 77 print_msg
############ 77 fork L
############ 77 print_msg
############ 77 print_msg
############ 55 print_msg
############ 55 print_msg
############ 61 fork R
############ 61 print_msg
############ 61 fork L
############ 61 print_msg
############ 61 print_msg
############ 81 print_msg
############ 81 fork L
############ 81 print_msg
############ 81 print_msg
############ 69 print_msg
############ 12 print_msg
############ 20 print_msg
############ 5 print_msg
############ 24 print_msg
############ 10 print_msg
############ 16 print_msg
############ 13 print_msg
############ 3 print_msg
############ 15 print_msg
############ 8 print_msg
############ 17 print_msg
############ 18 print_msg
############ 4 print_msg
############ 22 print_msg
############ 9 print_msg
############ 2 print_msg
############ 7 print_msg
############ 21 print_msg
############ 14 print_msg
############ 11 print_msg
############ 6 print_msg
############ 23 print_msg
############ 12 fork R
############ 12 print_msg
############ 12 fork L
############ 12 print_msg
############ 12 print_msg
############ 19 print_msg
############ 20 fork R
############ 20 print_msg
############ 20 fork L
############ 20 print_msg
############ 8 fork R
############ 20 print_msg
############ 8 print_msg
############ 8 fork L
